strategy,exit_type,pnl,entry_idx,exit_idx,entry_price,exit_price
dual_99_80,stopped,-0.04143350296761775,270,271,0.5076206011241415,0.5075476877335467
dual_99_80,stopped,-0.34711009939549414,270,271,0.5078295097011429,0.4922022981580284
dual_99_80,stopped,-0.47536833117820215,270,271,0.5065249973291928,0.4844283096751593
dual_99_80,stopped,-0.5801854351397298,270,271,0.5091799029272619,0.48161962562995037
dual_99_80,stopped,-0.36189341286625837,270,271,0.5075006429607113,0.49113179386307165
dual_99_80,stopped,-0.6371858927639555,270,271,0.5065052369418348,0.47619684194055945
dual_99_80,stopped,-1.1073636044502644,270,271,0.5061523422840557,0.45201921718773774
dual_99_80,stopped,0.40607479749409936,270,271,0.5055658567906074,0.5281630699356776
dual_99_80,stopped,-0.2329606383185484,270,271,0.5062981762348749,0.49650903602788105
dual_99_80,stopped,-0.5578338021176252,270,271,0.5073984800162934,0.48107101668006685
dual_99_80,stopped,0.46538031267601593,270,271,0.5056653841536334,0.5312719302411084
dual_99_80,stopped,0.07351212115234187,270,271,0.5072520787875189,0.5130215436594734
dual_99_80,stopped,0.025908603866172008,270,271,0.5054437739458886,0.5087817592638868
dual_99_80,stopped,0.09048288608132203,270,271,0.5067216724185055,0.5133467732458723
dual_99_80,stopped,-0.2240936716476527,270,271,0.5054449101825135,0.4961213421132633
dual_99_80,stopped,1.2116287137853512,270,271,0.5061848469232336,0.5696673608402839
dual_99_80,stopped,-0.1593157487162104,270,271,0.5057009009486819,0.499655000986442
dual_99_80,stopped,0.3685785843304076,270,271,0.5066482274255774,0.5273902730683683
dual_99_80,stopped,-0.38875248812206,270,271,0.5052077532447518,0.48755319803807207
dual_99_80,stopped,-0.39708681589502287,270,271,0.5050602518155572,0.48698907374381817
dual_99_80,stopped,-0.44899727376347476,270,271,0.5052616515608456,0.4845551748047718
dual_99_80,stopped,-0.2930453118544597,270,271,0.505696070471525,0.4928740243937653
dual_99_80,stopped,-0.45934641425224776,270,271,0.5050234704789635,0.4838030514951379
dual_99_80,stopped,0.42250123219648444,270,271,0.505406994584846,0.5288289743199375
dual_99_80,stopped,-0.5743386866116378,270,271,0.5082603090972413,0.4810475690150925
dual_99_80,stopped,-0.24979922768379412,270,271,0.5055375103815062,0.4949101176717639
dual_99_80,stopped,0.3241441536744191,270,271,0.5052270502351788,0.5236614667303002
dual_99_80,stopped,-0.19449660607261487,270,271,0.5050839587810556,0.4972649450121785
dual_99_80,stopped,-0.11012512890400489,270,271,0.5053152191308046,0.5017645883814355
dual_99_80,stopped,-0.509638311646024,270,271,0.5054987516882284,0.48171101819303486
dual_99_80,stopped,-0.6578399165432955,270,271,0.5067983976437319,0.475423620118233
dual_99_80,stopped,-0.35031099394413107,270,271,0.5109086715561871,0.4950228421288047
dual_99_80,stopped,-0.3381762388232413,270,271,0.5086339689850683,0.49343731930473717
dual_99_80,stopped,-0.02877693787022573,270,271,0.510443078885826,0.5110171003675944
dual_99_80,stopped,-0.5897679980371696,270,271,0.5054498975461835,0.4776061923075004
dual_99_80,stopped,0.2232305712284525,270,271,0.5054456102806023,0.5187771470260008
dual_99_80,stopped,-0.45871040080355074,270,271,0.5094864590049422,0.48811098010174164
dual_99_80,stopped,-0.043615152519097596,270,271,0.5067372831607546,0.506553722783426
dual_99_80,stopped,-0.31658705558657874,270,271,0.506812155480909,0.49276629557911017
dual_99_80,stopped,-1.3700623252833521,270,271,0.5095310362081215,0.44162441949238895
dual_99_80,stopped,0.35013035932566766,270,271,0.509623188720358,0.5295449800766872
dual_99_80,stopped,-0.6966122620057034,270,271,0.5061345460390715,0.4728345310937865
dual_99_80,stopped,-0.10844394841953754,270,271,0.5051429154812591,0.5016785892636545
dual_99_80,stopped,-0.6791992184992333,270,271,0.5059261410165715,0.4735225744879016
dual_99_80,stopped,-0.40623378536811316,270,271,0.5077613964944065,0.4891281922557346
dual_99_80,stopped,0.03588008613537727,270,271,0.5055413688298521,0.509385108570514
dual_99_80,stopped,-0.3689619572001335,270,271,0.5064506857566993,0.48975699749899654
dual_99_80,stopped,0.1832017681589492,270,271,0.507054427517606,0.518394652444936
